Customer name,Geo region,Total addressable market - 12 mo (TB),,,,,
Hmk Technical Services,Europe West,374.6704648,,,,,
Hmd Global Oy,US West,220.6764915,,,,,
Hitachi Consulting Software,Asia East,176.6045172,,,,,
Hiscox Underwriting Group Services Limited,Europe West,111.1198517,,,,,
Hewlett Packard Enterprise Company,US West,343.5202402,,,,,
Hearst Communications Inc.,Europe West,25.85246958,,,,,
Hansa Borg Bryggerier As,Europe West,75.25333688,,,,,
Gruppera Ab,Europe West,173.649402,,,,,
Global Digital Marketing Programs Doo,India Central,22.54950425,,,,,
Gac Group Of Companies B.V.,Europe West,170.4338388,,,,,
Fulcro Srl Unipersonale,Asia East,110.1602485,,,,,
Francesco Massa,US West,32.8015866,,,,,
Fortum Oyj,Asia East,315.5069314,,,,,
Flexxible It,Asia East,36.86756325,,,,,
Fjord Tours As,US West,355.3772842,,,,,
Fiskars Oyj Abp,Asia East,379.8630349,,,,,
Farminveste 4 - Serviços S.A.,Asia East,234.9537995,,,,,
Experian Services Corp.,UK South,290.0224589,,,,,
Excelsior Ict,India Central,345.1907971,,,,,
Evry As,Europe West,339.0874146,,,,,
Evoke Creative Ltd,Europe West,125.2696848,,,,,
Elon Group Ab,UK South,196.2006394,,,,,
Eivind,UK South,279.847343,,,,,
Edsential,US West,38.71217487,,,,,
E.On Digital Technology Gmbh,Europe West,232.3764356,,,,,
Doxray B.V.,Europe West,12.14615211,,,,,
Docuware Gmbh,UK South,187.7781434,,,,,
Dnv Gl As,Asia East,12.8029742,,,,,
Diptanil,Asia East,189.0433256,,,,,
Dimension Data Global Services Limited,Europe West,264.9258493,,,,,
Design Museum,US West,319.706565,,,,,
Delaware Consulting Cvba,Asia East,267.9351254,,,,,
David,Europe West,149.8981462,,,,,
Datum Monitoring Services Limited,Europe West,175.0105545,,,,,
Daniel,UK South,238.2469508,,,,,
Dan Strandberg,Europe West,168.0900814,,,,,
Daan,Europe West,259.0492446,,,,,
Cybot A/S,Europe West,385.0624586,,,,,
Customer Service And Support,Asia East,58.74861783,,,,,
Cubic Telecom Limited,Europe West,295.4481913,,,,,
Ctt -Correios De Portugal Sa-Sociedade Aberta,Europe West,38.34557377,,,,,
Cosine,Europe West,243.5993273,,,,,
Corporation Of Lloyds,Europe West,360.4051421,,,,,
Content And Code- Kunallab,India Central,319.2035822,,,,,
Commerce + Ecosystems,Europe West,307.507947,,,,,
Citus D.O.O.,Europe West,25.82412281,,,,,
Chris,Europe West,98.82968491,,,,,
Carlo Fasini,Asia East,159.2454061,,,,,
Canada Life Group Services Limited,Europe West,165.9196899,,,,,
Business Applications Group,Europe West,110.6074231,,,,,
British Broadcasting Corporation,US West,130.1081297,,,,,
Britam Life Assurance,US West,163.2493738,,,,,
Bridgestone Europe,US West,338.262754,,,,,
Bp Corporation North America Inc.,Asia East,297.8616111,,,,,
Bliksund,Asia East,228.2729204,,,,,
Black & Veatch Corporation,Asia East,6.789909805,,,,,
Bede Gaming Limited,Europe West,61.92254527,,,,,
Bayport Financial Services Plc,Europe West,207.8346843,,,,,
Bastien,Europe West,335.0149418,,,,,
Banco Comercial Português S.A.,Asia East,213.9631224,,,,,
Azagroup S. A.,Europe West,234.4887194,,,,,
Atos Engineering,UK South,188.9805761,,,,,
Atlantic Global Plc,Asia East,193.6364619,,,,,
Atea A/S,Europe West,26.32931807,,,,,
Asos.Com Ltd,Europe West,218.2482467,,,,,
Ase Software Ireland Ltd,Europe West,252.6445197,,,,,
Arni,UK South,334.8305368,,,,,
Arjo Deutschland Gmbh,Europe West,360.2874355,,,,,
Ares Trading S.A.,Asia East,95.42411817,,,,,
Andreas,Europe West,260.1511178,,,,,
Andre,Asia East,175.07594,,,,,
Amer Sports Oyj,Europe West,315.2542712,,,,,
Amazon,US West,215.9864507,,,,,
Alstom,Asia East,69.66618441,,,,,
Alphamind Solutions,Asia East,71.63436454,,,,,
Albiant-It,Asia East,283.4840215,,,,,
Ags,Asia East,301.6092584,,,,,
Aggreko Plc,Asia East,48.49611593,,,,,
Agder Energi As,Europe West,167.9697475,,,,,
Adrian,Asia East,134.6654514,,,,,
Adapto Technologies,Europe West,222.5477338,,,,,
Accela Inc.,Asia East,120.5255862,,,,,
Abb Inc.,US West,165.8028585,,,,,
